"timeMillisSpent","score"
109,"-51hard/-35634soft"
116,"-50hard/-38447soft"
126,"-49hard/-40053soft"
127,"-48hard/-42962soft"
128,"-47hard/-42780soft"
130,"-47hard/-42393soft"
139,"-45hard/-50120soft"
140,"-44hard/-50223soft"
144,"-42hard/-50413soft"
150,"-42hard/-49811soft"
151,"-41hard/-49645soft"
152,"-40hard/-49644soft"
153,"-40hard/-48416soft"
157,"-39hard/-50575soft"
160,"-38hard/-49560soft"
161,"-38hard/-49322soft"
162,"-38hard/-48819soft"
164,"-38hard/-48754soft"
165,"-38hard/-48276soft"
166,"-36hard/-49586soft"
171,"-35hard/-49975soft"
176,"-33hard/-49973soft"
178,"-33hard/-49023soft"
180,"-31hard/-49352soft"
181,"-30hard/-49414soft"
186,"-28hard/-50446soft"
187,"-28hard/-49202soft"
189,"-28hard/-48836soft"
190,"-26hard/-48523soft"
192,"-26hard/-48026soft"
193,"-25hard/-47975soft"
195,"-24hard/-49172soft"
197,"-24hard/-49063soft"
198,"-22hard/-48593soft"
200,"-21hard/-49055soft"
201,"-19hard/-47628soft"
203,"-17hard/-46860soft"
204,"-16hard/-46682soft"
205,"-16hard/-46590soft"
205,"-16hard/-46564soft"
207,"-15hard/-47676soft"
211,"-14hard/-48444soft"
213,"-13hard/-48254soft"
214,"-13hard/-48253soft"
215,"-13hard/-48028soft"
217,"-13hard/-47655soft"
222,"-12hard/-49927soft"
223,"-12hard/-49429soft"
224,"-12hard/-48941soft"
225,"-12hard/-48520soft"
228,"-12hard/-48500soft"
229,"-11hard/-48525soft"
256,"-11hard/-48436soft"
257,"-10hard/-48436soft"
264,"-10hard/-48287soft"
273,"-10hard/-47078soft"
275,"-10hard/-46672soft"
290,"-9hard/-49332soft"
292,"-9hard/-49200soft"
295,"-9hard/-49001soft"
295,"-7hard/-48777soft"
296,"-6hard/-48288soft"
300,"-4hard/-47680soft"
302,"-4hard/-47463soft"
304,"-4hard/-47423soft"
305,"-4hard/-47219soft"
306,"-4hard/-47127soft"
318,"-4hard/-47095soft"
319,"-4hard/-46888soft"
401,"-3hard/-43404soft"
402,"-2hard/-42990soft"
782,"0hard/-43233soft"
832,"0hard/-42591soft"
834,"0hard/-42346soft"
