"timeMillisSpent","score"
100,"-49hard/-33156soft"
102,"-49hard/-32871soft"
106,"-48hard/-35564soft"
106,"-48hard/-35263soft"
117,"-45hard/-39071soft"
119,"-42hard/-41802soft"
129,"-37hard/-55064soft"
130,"-37hard/-53947soft"
133,"-36hard/-58249soft"
133,"-35hard/-58249soft"
134,"-34hard/-60109soft"
134,"-33hard/-60056soft"
135,"-33hard/-59699soft"
135,"-33hard/-58789soft"
135,"-29hard/-57511soft"
301,"-27hard/-59167soft"
301,"-26hard/-59192soft"
481,"-26hard/-54781soft"
552,"-24hard/-55030soft"
553,"-24hard/-54676soft"
628,"-24hard/-54033soft"
642,"-24hard/-53811soft"
651,"-24hard/-53634soft"
651,"-24hard/-53342soft"
652,"-23hard/-54094soft"
693,"-19hard/-55088soft"
963,"-19hard/-54515soft"
963,"-19hard/-53941soft"
964,"-17hard/-53307soft"
1087,"-16hard/-51335soft"
1351,"-16hard/-50373soft"
1352,"-15hard/-49458soft"
1353,"-15hard/-48972soft"
1586,"-14hard/-51454soft"
1700,"-14hard/-50312soft"
1762,"-14hard/-49899soft"
1762,"-14hard/-49644soft"
1769,"-14hard/-49568soft"
1773,"-13hard/-49682soft"
1899,"-12hard/-48698soft"
1990,"-11hard/-49230soft"
2191,"-10hard/-48506soft"
2615,"-9hard/-48594soft"
2615,"-9hard/-47864soft"
2853,"-9hard/-45366soft"
2955,"-7hard/-48192soft"
3009,"-7hard/-47454soft"
3009,"-7hard/-46280soft"
3233,"-7hard/-44396soft"
3863,"-6hard/-45244soft"
4200,"-5hard/-45609soft"
4277,"-5hard/-45394soft"
4326,"-4hard/-43775soft"
4791,"-3hard/-44440soft"
4850,"-3hard/-44015soft"
4851,"-3hard/-43877soft"
5045,"-3hard/-43245soft"
5277,"-2hard/-42951soft"
6225,"-1hard/-42266soft"
6225,"-1hard/-42226soft"
6623,"0hard/-42470soft"
6661,"0hard/-42079soft"
6992,"0hard/-42060soft"
7656,"0hard/-41891soft"
7712,"0hard/-41783soft"
7714,"0hard/-41307soft"
7714,"0hard/-40955soft"
7803,"0hard/-40855soft"
7803,"0hard/-40313soft"
9379,"0hard/-40274soft"
