"timeMillisSpent","score"
514,"-150hard/-49144soft"
605,"-105hard/-55438soft"
722,"-73hard/-61890soft"
861,"-46hard/-68557soft"
967,"-36hard/-68557soft"
1080,"-26hard/-74915soft"
1174,"-17hard/-74915soft"
1244,"-12hard/-75062soft"
1310,"-8hard/-77482soft"
1364,"-3hard/-78078soft"
1416,"-2hard/-77449soft"
1459,"-1hard/-77184soft"
1499,"0hard/-76828soft"
1540,"0hard/-75663soft"
1582,"0hard/-75445soft"
1622,"0hard/-75200soft"
1661,"0hard/-74745soft"
1702,"0hard/-73418soft"
1742,"0hard/-73348soft"
1783,"0hard/-73285soft"
1823,"0hard/-73169soft"
1864,"0hard/-72293soft"
1902,"0hard/-71766soft"
1947,"0hard/-71503soft"
1987,"0hard/-71367soft"
2027,"0hard/-71295soft"
2068,"0hard/-70910soft"
2110,"0hard/-70802soft"
2153,"0hard/-70652soft"
2194,"0hard/-70490soft"
2233,"0hard/-69930soft"
2316,"0hard/-69915soft"
2361,"0hard/-69807soft"
2400,"0hard/-69642soft"
2445,"0hard/-69268soft"
2487,"0hard/-69052soft"
2529,"0hard/-68951soft"
2610,"0hard/-68819soft"
2652,"0hard/-68818soft"
2693,"0hard/-68735soft"
2732,"0hard/-68715soft"
2771,"0hard/-68677soft"
2807,"0hard/-68302soft"
2849,"0hard/-68280soft"
2930,"0hard/-68249soft"
2974,"0hard/-68203soft"
3060,"0hard/-68088soft"
3105,"0hard/-67954soft"
3143,"0hard/-67908soft"
3185,"0hard/-67764soft"
3228,"0hard/-67655soft"
3268,"0hard/-67587soft"
3314,"0hard/-67551soft"
3357,"0hard/-67492soft"
3400,"0hard/-67437soft"
3488,"0hard/-67134soft"
3529,"0hard/-66981soft"
3652,"0hard/-66924soft"
3734,"0hard/-66802soft"
3819,"0hard/-66763soft"
3862,"0hard/-66707soft"
3943,"0hard/-66552soft"
4028,"0hard/-66468soft"
4312,"0hard/-66451soft"
4351,"0hard/-66173soft"
4473,"0hard/-66051soft"
4767,"0hard/-66043soft"
4857,"0hard/-65934soft"
4949,"0hard/-65866soft"
4991,"0hard/-65791soft"
5031,"0hard/-65787soft"
5111,"0hard/-65163soft"
5152,"0hard/-65119soft"
5192,"0hard/-64944soft"
5232,"0hard/-64747soft"
5270,"0hard/-64682soft"
5309,"0hard/-64677soft"
5347,"0hard/-64348soft"
5383,"0hard/-64255soft"
5424,"0hard/-64107soft"
5503,"0hard/-64099soft"
5548,"0hard/-63961soft"
5588,"0hard/-63933soft"
5627,"0hard/-63881soft"
5671,"0hard/-63812soft"
5751,"0hard/-63698soft"
5792,"0hard/-63695soft"
5914,"0hard/-63668soft"
5950,"0hard/-63540soft"
5989,"0hard/-63512soft"
6030,"0hard/-63447soft"
6158,"0hard/-63398soft"
6317,"0hard/-63397soft"
6360,"0hard/-63381soft"
6443,"0hard/-63378soft"
6558,"0hard/-63376soft"
6599,"0hard/-63333soft"
6806,"0hard/-63272soft"
6846,"0hard/-63271soft"
6930,"0hard/-63264soft"
7011,"0hard/-63257soft"
7051,"0hard/-63214soft"
7136,"0hard/-63202soft"
7231,"0hard/-63123soft"
7454,"0hard/-63112soft"
7493,"0hard/-63098soft"
7537,"0hard/-63081soft"
7751,"0hard/-62992soft"
7796,"0hard/-62939soft"
7931,"0hard/-62896soft"
7976,"0hard/-62337soft"
8162,"0hard/-62269soft"
8203,"0hard/-62268soft"
8249,"0hard/-62221soft"
8296,"0hard/-62168soft"
8524,"0hard/-61801soft"
8576,"0hard/-61795soft"
8666,"0hard/-61794soft"
8712,"0hard/-61720soft"
8752,"0hard/-61536soft"
8882,"0hard/-61522soft"
8969,"0hard/-61507soft"
9050,"0hard/-61444soft"
9222,"0hard/-61325soft"
9390,"0hard/-60711soft"
9476,"0hard/-60487soft"
9519,"0hard/-60437soft"
9558,"0hard/-60417soft"
9597,"0hard/-60402soft"
9674,"0hard/-60317soft"
9797,"0hard/-60280soft"
9843,"0hard/-60138soft"
9888,"0hard/-60112soft"
9929,"0hard/-60035soft"
9969,"0hard/-60034soft"
