"timeMillisSpent","score"
19,"-7hard/-21499soft"
23,"-6hard/-23055soft"
23,"-6hard/-21498soft"
24,"-5hard/-22327soft"
27,"0hard/-23987soft"
589,"0hard/-23553soft"
1006,"0hard/-23551soft"
1025,"0hard/-23273soft"
1088,"0hard/-23171soft"
1121,"0hard/-23162soft"
1122,"0hard/-23137soft"
1126,"0hard/-22918soft"
1126,"0hard/-22627soft"
1143,"0hard/-22164soft"
1143,"0hard/-22089soft"
1375,"0hard/-22087soft"
1376,"0hard/-21771soft"
1723,"0hard/-21755soft"
1724,"0hard/-21351soft"
2283,"0hard/-21135soft"
2288,"0hard/-21105soft"
2300,"0hard/-20747soft"
