"timeMillisSpent","score"
86,"-48hard/-32691soft"
129,"-33hard/-34260soft"
193,"-29hard/-33939soft"
262,"-21hard/-37289soft"
335,"-7hard/-39641soft"
422,"-5hard/-39641soft"
534,"-3hard/-39641soft"
593,"-1hard/-39122soft"
672,"-1hard/-38390soft"
738,"0hard/-38004soft"
795,"0hard/-37463soft"
865,"0hard/-37109soft"
920,"0hard/-36478soft"
960,"0hard/-36042soft"
1008,"0hard/-35742soft"
1054,"0hard/-35708soft"
1089,"0hard/-35558soft"
1126,"0hard/-35275soft"
1162,"0hard/-35262soft"
1198,"0hard/-35248soft"
1235,"0hard/-35134soft"
1273,"0hard/-35007soft"
1312,"0hard/-34914soft"
1349,"0hard/-34718soft"
1387,"0hard/-34376soft"
1425,"0hard/-34330soft"
1467,"0hard/-34156soft"
1510,"0hard/-33995soft"
1552,"0hard/-33924soft"
1591,"0hard/-33811soft"
1631,"0hard/-33683soft"
1668,"0hard/-33512soft"
1708,"0hard/-33334soft"
1752,"0hard/-33279soft"
1796,"0hard/-33221soft"
1842,"0hard/-33112soft"
1975,"0hard/-33088soft"
2016,"0hard/-33014soft"
2058,"0hard/-32855soft"
2101,"0hard/-32816soft"
2318,"0hard/-32711soft"
2404,"0hard/-32687soft"
2546,"0hard/-32628soft"
2590,"0hard/-32614soft"
2633,"0hard/-32503soft"
2930,"0hard/-32422soft"
3132,"0hard/-32389soft"
3167,"0hard/-32346soft"
3207,"0hard/-32310soft"
3298,"0hard/-32297soft"
3343,"0hard/-32215soft"
3472,"0hard/-32188soft"
3509,"0hard/-32162soft"
3582,"0hard/-32153soft"
3754,"0hard/-31899soft"
3920,"0hard/-31757soft"
4447,"0hard/-31750soft"
4525,"0hard/-31737soft"
4931,"0hard/-31703soft"
4983,"0hard/-31699soft"
